iter	RMSE
0	0.2231339145
1	0.2231297376
2	0.2231242561
3	0.223119918
4	0.2231155296
5	0.223109859
6	0.223104728
7	0.2231004763
8	0.2230969429
9	0.223092645
10	0.2230876625
11	0.2230832917
12	0.2230782482
13	0.2230737256
14	0.223069612
15	0.2230642229
16	0.2230601081
17	0.2230562535
18	0.2230529326
19	0.2230475778
20	0.2230434832
21	0.2230389898
22	0.2230346714
23	0.2230301294
24	0.2230264603
25	0.2230221081
26	0.2230171924
27	0.2230128277
28	0.2230096708
29	0.2230054548
30	0.2230014076
31	0.2229967267
32	0.2229919988
33	0.2229878178
34	0.2229828981
35	0.2229791579
36	0.222975683
37	0.2229717107
38	0.2229681618
39	0.222964201
40	0.2229602883
41	0.2229568934
42	0.222952997
43	0.222949189
44	0.2229456383
45	0.2229408728
46	0.2229364582
47	0.2229329365
48	0.2229292256
49	0.2229246725
50	0.2229212264
51	0.222916623
52	0.2229130571
53	0.222909623
54	0.222905996
55	0.2229024315
56	0.2228987834
57	0.2228948136
58	0.2228909359
59	0.222886335
60	0.2228829662
61	0.2228784763
62	0.2228739413
63	0.2228705196
64	0.2228680377
65	0.2228631427
66	0.2228598242
67	0.2228576004
68	0.2228538154
69	0.2228499969
70	0.2228458259
71	0.2228420499
72	0.2228381869
73	0.2228342534
74	0.2228301279
75	0.2228274586
76	0.2228241606
77	0.2228204424
78	0.2228154085
79	0.2228120062
80	0.2228082389
81	0.2228045397
82	0.2228010464
83	0.2227979469
84	0.2227940629
85	0.2227904055
86	0.2227863956
87	0.2227825406
88	0.2227788953
89	0.2227758981
90	0.2227729381
91	0.2227689804
92	0.2227652561
93	0.2227614674
94	0.2227579978
95	0.2227541776
96	0.2227501338
97	0.2227466747
98	0.2227430498
99	0.2227405776
100	0.2227358051
101	0.2227332896
102	0.2227295042
103	0.2227251857
104	0.2227224186
105	0.2227185126
106	0.2227152239
107	0.2227108449
108	0.2227077549
109	0.2227037277
110	0.2227003621
111	0.2226969244
112	0.2226931237
113	0.2226895578
114	0.2226857363
115	0.2226811884
116	0.2226772231
117	0.2226738048
118	0.222670113
119	0.222666639
120	0.2226628464
121	0.2226593323
122	0.2226557666
123	0.2226520061
124	0.2226479086
125	0.2226451015
126	0.2226415619
127	0.2226383221
128	0.2226352127
129	0.2226309303
130	0.2226278483
131	0.2226241706
132	0.222620896
133	0.2226173854
134	0.2226136188
135	0.2226106535
136	0.2226082317
137	0.2226054126
138	0.222601917
139	0.222598505
140	0.2225947695
141	0.2225919282
142	0.2225886023
143	0.2225851101
144	0.222582034
145	0.2225789398
146	0.2225753551
147	0.2225723702
148	0.2225684558
149	0.2225650007
150	0.2225617924
151	0.2225582139
152	0.2225547384
153	0.2225513609
154	0.2225480061
155	0.2225444112
156	0.2225415735
157	0.2225380997
158	0.2225337238
159	0.2225299559
160	0.2225263483
161	0.2225229044
162	0.2225202321
163	0.2225172064
164	0.222513965
165	0.222510684
166	0.2225077766
167	0.2225045143
168	0.2225017366
169	0.2224986232
170	0.2224952711
171	0.2224922155
172	0.2224891397
173	0.2224855082
174	0.2224827297
175	0.2224789377
176	0.2224744069
177	0.2224707875
178	0.2224658267
179	0.2224628393
180	0.2224590754
181	0.2224557087
182	0.2224516069
183	0.2224484263
184	0.2224445471
185	0.2224417975
186	0.2224381336
187	0.2224338155
188	0.2224300564
189	0.2224264478
190	0.2224236925
191	0.2224211032
192	0.222416912
193	0.2224140098
194	0.2224114095
195	0.2224091389
196	0.2224066375
197	0.2224041521
198	0.2224005297
199	0.2223972577
200	0.2223939307
201	0.2223907091
202	0.2223877224
203	0.2223842977
204	0.2223803641
205	0.2223777106
206	0.2223746199
207	0.2223709986
208	0.2223677941
209	0.2223649312
210	0.2223619753
211	0.222358456
212	0.2223547344
213	0.2223508896
214	0.2223469939
215	0.2223439168
216	0.2223405357
217	0.2223372616
218	0.2223338322
219	0.2223310262
220	0.2223287624
221	0.2223256183
222	0.2223225291
223	0.2223194494
224	0.2223151593
225	0.2223116942
226	0.2223081068
227	0.222305126
228	0.2223018369
229	0.2222989368
230	0.2222954795
231	0.2222919008
232	0.2222889612
233	0.222285163
234	0.2222818582
235	0.2222790351
236	0.2222759111
237	0.2222730805
238	0.2222697108
239	0.2222665322
240	0.2222631324
241	0.2222598099
242	0.2222559202
243	0.2222534213
244	0.2222492696
245	0.2222464918
246	0.2222434177
247	0.2222402679
248	0.2222368182
249	0.222233326
250	0.2222302729
251	0.2222264424
252	0.2222226244
253	0.2222184923
254	0.2222149785
255	0.2222124741
256	0.222209446
257	0.2222057129
258	0.22220165
259	0.2221982836
260	0.2221950428
261	0.2221926883
262	0.2221900271
263	0.2221871622
264	0.2221837243
265	0.2221807432
266	0.2221778585
267	0.2221741327
268	0.2221717944
269	0.2221679972
270	0.2221638461
271	0.2221607987
272	0.2221586773
273	0.222156147
274	0.2221532958
275	0.2221492835
276	0.2221455344
277	0.2221422942
278	0.2221385085
279	0.2221354833
280	0.222132062
281	0.2221289752
282	0.2221254295
283	0.2221221073
284	0.2221189839
285	0.2221162128
286	0.2221132413
287	0.2221104649
288	0.2221074331
289	0.2221031316
290	0.222100961
291	0.2220980056
292	0.2220943041
293	0.2220908958
294	0.2220881433
295	0.2220855103
296	0.2220830358
297	0.2220802209
298	0.2220779315
299	0.2220745711
300	0.2220721376
301	0.2220691852
302	0.2220658414
303	0.2220614393
304	0.2220587814
305	0.2220553132
306	0.2220520455
307	0.2220481163
308	0.2220447335
309	0.2220416419
310	0.222037626
311	0.2220343973
312	0.2220321082
313	0.2220291344
314	0.222026402
315	0.2220228194
316	0.2220187109
317	0.222015144
318	0.222012695
319	0.2220086133
320	0.2220056458
321	0.2220023744
322	0.2219988015
323	0.2219954746
324	0.2219917318
325	0.2219889934
326	0.2219855597
327	0.2219828971
328	0.2219797347
329	0.221977003
330	0.221973773
331	0.2219717168
332	0.2219675738
333	0.2219648621
334	0.221961432
335	0.2219589208
336	0.2219561745
337	0.2219533082
338	0.2219510625
339	0.2219475216
340	0.2219435611
341	0.2219407838
342	0.2219375705
343	0.2219332471
344	0.2219314117
345	0.2219289059
346	0.2219261752
347	0.2219226708
348	0.2219200611
349	0.22191745
350	0.2219142393
351	0.2219099941
352	0.221906271
353	0.2219031355
354	0.2218995593
355	0.2218966294
356	0.2218935839
357	0.2218897965
358	0.2218864366
359	0.2218826165
360	0.2218797947
361	0.2218765209
362	0.2218727332
363	0.221869732
364	0.2218671589
365	0.2218639216
366	0.2218610765
367	0.2218575057
368	0.2218545107
369	0.2218516778
370	0.2218492494
371	0.2218463152
372	0.2218435625
373	0.2218407319
374	0.2218380967
375	0.2218351183
376	0.2218312192
377	0.2218286893
378	0.2218263255
379	0.2218232228
380	0.2218201548
381	0.2218174369
382	0.2218145515
383	0.2218118472
384	0.2218085366
385	0.2218059314
386	0.221802808
387	0.2217990997
388	0.2217960087
389	0.2217930855
390	0.2217904317
391	0.2217870192
392	0.2217841639
393	0.2217814942
394	0.2217780941
395	0.2217754512
396	0.2217722887
397	0.2217686797
398	0.2217658751
399	0.2217634148
400	0.2217613701
401	0.2217584533
402	0.2217555467
403	0.221752567
404	0.2217497374
405	0.2217462514
406	0.2217429779
407	0.2217396656
408	0.2217356144
409	0.2217318421
410	0.2217278478
411	0.221725432
412	0.2217222389
413	0.2217185157
414	0.2217155627
415	0.2217121272
416	0.2217095479
417	0.2217062121
418	0.2217034138
419	0.2217003734
420	0.2216975914
421	0.2216939569
422	0.2216914028
423	0.2216881146
424	0.2216850474
425	0.2216812413
426	0.2216791438
427	0.2216765534
428	0.2216727103
429	0.2216700663
430	0.2216676355
431	0.2216637729
