iter	Passed	Remaining
0	68	89937
1	137	90059
2	201	87717
3	274	89684
4	335	87737
5	405	88146
6	478	89203
7	549	89502
8	614	88867
9	699	90948
10	765	90513
11	826	89418
12	895	89368
13	967	89648
14	1044	90262
15	1116	90330
16	1182	90039
17	1260	90536
18	1333	90655
19	1396	90140
20	1476	90713
21	1538	90144
22	1618	90653
23	1685	90404
24	1761	90616
25	1829	90395
26	1905	90597
27	1984	90929
28	2051	90674
29	2112	90184
30	2187	90337
31	2261	90372
32	2325	90070
33	2389	89750
34	2461	89721
35	2534	89768
36	2587	89091
37	2654	88939
38	2720	88744
39	2786	88555
40	2849	88269
41	2919	88204
42	2992	88257
43	3064	88236
44	3131	88109
45	3197	87940
46	3273	88041
47	3333	87715
48	3409	87803
49	3472	87578
50	3536	87371
51	3607	87337
52	3674	87223
53	3747	87229
54	3818	87196
55	3883	87025
56	3947	86842
57	4013	86711
58	4075	86474
59	4146	86454
60	4220	86491
61	4291	86461
62	4351	86201
63	4421	86155
64	4485	85992
65	4564	86109
66	4629	85954
67	4690	85740
68	4757	85635
69	4819	85439
70	4882	85265
71	4959	85347
72	5033	85359
73	5114	85502
74	5181	85395
75	5253	85365
76	5318	85241
77	5400	85375
78	5473	85358
79	5538	85230
80	5619	85330
81	5695	85359
82	5759	85207
83	5825	85090
84	5893	85009
85	5975	85115
86	6042	85005
87	6113	84965
88	6174	84780
89	6235	84600
90	6306	84543
91	6377	84504
92	6435	84288
93	6505	84225
94	6583	84269
95	6670	84426
96	6739	84350
97	6802	84193
98	6873	84142
99	6937	84007
100	7004	83915
101	7060	83687
102	7117	83472
103	7191	83466
104	7262	83412
105	7331	83344
106	7390	83155
107	7454	83030
108	7521	82948
109	7595	82931
110	7673	82960
111	7735	82806
112	7813	82840
113	7883	82781
114	7956	82743
115	8017	82597
116	8079	82448
117	8140	82298
118	8203	82176
119	8281	82193
120	8348	82102
121	8417	82040
122	8491	82016
123	8561	81956
124	8628	81863
125	8687	81706
126	8750	81583
127	8819	81512
128	8883	81397
129	8950	81312
130	9021	81259
131	9098	81263
132	9167	81196
133	9234	81108
134	9310	81107
135	9379	81039
136	9442	80920
137	9516	80893
138	9581	80791
139	9659	80791
140	9719	80655
141	9782	80532
142	9851	80467
143	9926	80446
144	9993	80358
145	10054	80227
146	10111	80062
147	10186	80047
148	10251	79951
149	10313	79830
150	10392	79836
151	10459	79752
152	10520	79626
153	10583	79515
154	10658	79489
155	10725	79407
156	10793	79337
157	10852	79197
158	10912	79061
159	10970	78922
160	11034	78814
161	11102	78743
162	11174	78702
163	11236	78585
164	11302	78498
165	11363	78379
166	11434	78328
167	11515	78348
168	11580	78254
169	11657	78240
170	11719	78130
171	11778	77995
172	11841	77894
173	11906	77801
174	11962	77654
175	12037	77627
176	12100	77527
177	12157	77385
178	12227	77329
179	12296	77263
180	12361	77175
181	12427	77093
182	12497	77035
183	12562	76946
184	12627	76856
185	12697	76799
186	12756	76673
187	12823	76601
188	12894	76545
189	12961	76471
190	13032	76421
191	13092	76302
192	13155	76204
193	13218	76109
194	13287	76045
195	13360	76002
196	13428	75937
197	13504	75909
198	13572	75841
199	13641	75778
200	13697	75644
201	13763	75564
202	13832	75499
203	13896	75411
204	13969	75366
205	14033	75276
206	14098	75191
207	14163	75107
208	14236	75065
209	14311	75030
210	14369	74912
211	14439	74853
212	14515	74824
213	14584	74760
214	14650	74684
215	14703	74541
216	14759	74409
217	14816	74285
218	14882	74207
219	14954	74159
220	15027	74117
221	15089	74019
222	15158	73957
223	15227	73895
224	15294	73819
225	15356	73725
226	15414	73611
227	15479	73526
228	15543	73440
229	15608	73361
230	15674	73284
231	15746	73233
232	15808	73141
233	15876	73070
234	15936	72968
235	16008	72919
236	16073	72840
237	16154	72831
238	16215	72732
239	16279	72647
240	16348	72586
241	16427	72566
242	16495	72496
243	16561	72421
244	16639	72400
245	16701	72305
246	16777	72270
247	16840	72181
248	16917	72154
249	16980	72064
250	17044	71982
251	17107	71891
252	17173	71815
253	17241	71747
254	17302	71652
255	17363	71556
256	17427	71473
257	17494	71400
258	17561	71329
259	17638	71299
260	17706	71232
261	17772	71159
262	17834	71065
263	17899	70986
264	17971	70937
265	18035	70854
266	18100	70776
267	18167	70702
268	18236	70642
269	18306	70582
270	18368	70491
271	18432	70407
272	18487	70292
273	18551	70210
274	18622	70155
275	18701	70129
276	18763	70040
277	18829	69967
278	18905	69928
279	18974	69868
280	19034	69769
281	19092	69666
282	19151	69566
283	19215	69485
284	19273	69383
285	19349	69347
286	19405	69237
287	19470	69161
288	19538	69094
289	19606	69027
290	19685	69000
291	19748	68916
292	19826	68886
293	19903	68850
294	19972	68785
295	20043	68731
296	20108	68653
297	20175	68583
298	20239	68504
299	20305	68428
300	20382	68392
301	20447	68316
302	20525	68281
303	20600	68238
304	20666	68164
305	20749	68148
306	20815	68072
307	20897	68053
308	20956	67954
309	21022	67881
310	21091	67816
311	21161	67755
312	21223	67672
313	21292	67607
314	21363	67548
315	21434	67490
316	21492	67394
317	21558	67318
318	21634	67276
319	21695	67189
320	21763	67122
321	21822	67026
322	21893	66966
323	21965	66912
324	22038	66862
325	22106	66792
326	22184	66758
327	22252	66688
328	22320	66620
329	22389	66558
330	22460	66499
331	22547	66487
332	22630	66463
333	22700	66402
334	22768	66334
335	22839	66275
336	22908	66209
337	22979	66150
338	23058	66113
339	23134	66068
340	23216	66041
341	23289	65985
342	23358	65921
343	23438	65885
344	23516	65847
345	23598	65816
346	23661	65733
347	23744	65706
348	23815	65647
349	23896	65614
350	23967	65552
351	24035	65483
352	24112	65438
353	24172	65348
354	24245	65291
355	24309	65212
356	24383	65158
357	24447	65080
358	24515	65010
359	24582	64937
360	24650	64869
361	24723	64814
362	24785	64728
363	24847	64644
364	24902	64540
365	24976	64488
366	25045	64422
367	25110	64345
368	25177	64275
369	25237	64184
370	25300	64104
371	25366	64029
372	25439	63973
373	25502	63892
374	25589	63870
375	25665	63823
376	25738	63766
377	25811	63710
378	25880	63643
379	25947	63570
380	26021	63516
381	26096	63465
382	26160	63386
383	26231	63323
384	26305	63269
385	26379	63215
386	26465	63189
387	26531	63114
388	26596	63039
389	26683	63014
390	26752	62948
391	26827	62894
392	26901	62839
393	26975	62782
394	27054	62738
395	27130	62688
396	27204	62632
397	27280	62579
398	27363	62545
399	27436	62485
400	27504	62416
401	27583	62372
402	27654	62308
403	27727	62248
404	27799	62188
405	27879	62146
406	27944	62067
407	28009	61992
408	28087	61942
409	28164	61894
410	28263	61890
411	28397	61964
412	28480	61926
413	28558	61876
414	28626	61804
415	28702	61751
416	28782	61706
417	28873	61684
418	28951	61633
419	29020	61565
420	29084	61484
421	29159	61429
422	29235	61374
423	29306	61308
424	29391	61272
425	29466	61215
426	29530	61136
427	29599	61065
428	29673	61008
429	29748	60950
430	29825	60895
431	29894	60826
432	29966	60763
433	30041	60705
434	30110	60635
435	30175	60558
436	30249	60499
437	30330	60452
438	30405	60395
439	30475	60326
440	30540	60249
441	30600	60163
442	30674	60103
443	30758	60062
444	30826	59990
445	30895	59921
446	30965	59853
447	31031	59777
448	31111	59728
449	31183	59664
450	31249	59588
451	31315	59512
452	31380	59435
453	31445	59358
454	31513	59286
455	31580	59213
456	31651	59148
457	31713	59064
458	31783	58997
459	31865	58951
460	31932	58877
461	31999	58803
462	32064	58728
463	32139	58667
464	32221	58621
465	32286	58544
466	32352	58470
467	32422	58401
468	32494	58336
469	32562	58265
470	32643	58217
471	32719	58159
472	32777	58070
473	32850	58007
474	32924	57947
475	32996	57882
476	33060	57804
477	33139	57752
478	33213	57689
479	33277	57611
480	33343	57536
481	33413	57468
482	33493	57417
483	33573	57366
484	33646	57303
485	33713	57230
486	33786	57165
487	33860	57104
488	33923	57024
489	33993	56956
490	34062	56885
491	34142	56835
492	34203	56752
493	34263	56666
494	34329	56591
495	34401	56526
496	34461	56441
497	34530	56372
498	34594	56294
499	34664	56225
500	34734	56157
501	34813	56104
502	34901	56064
503	34976	56003
504	35047	55937
505	35112	55860
506	35176	55782
507	35241	55707
508	35308	55632
509	35378	55564
510	35441	55486
511	35509	55413
512	35576	55341
513	35651	55280
514	35722	55213
515	35786	55136
516	35859	55072
517	35929	55003
518	36002	54940
519	36082	54887
520	36160	54831
521	36242	54780
522	36312	54712
523	36377	54636
524	36451	54573
525	36520	54503
526	36587	54430
527	36661	54366
528	36726	54291
529	36793	54218
530	36871	54161
531	36943	54095
532	37018	54033
533	37088	53966
534	37153	53889
535	37222	53819
536	37294	53754
537	37355	53673
538	37420	53597
539	37483	53518
540	37548	53442
541	37620	53376
542	37693	53312
543	37764	53244
544	37825	53164
545	37891	53089
546	37954	53011
547	38038	52961
548	38116	52905
549	38188	52839
550	38252	52761
551	38317	52686
552	38393	52626
553	38474	52572
554	38555	52518
555	38624	52449
556	38698	52385
557	38768	52316
558	38840	52250
559	38900	52168
560	38971	52100
561	39035	52024
562	39115	51969
563	39198	51917
564	39262	51840
565	39333	51773
566	39407	51708
567	39471	51632
568	39534	51554
569	39608	51491
570	39680	51424
571	39750	51355
572	39831	51300
573	39902	51234
574	39973	51165
575	40045	51100
576	40116	51032
577	40184	50960
578	40252	50889
579	40321	50818
580	40396	50756
581	40469	50690
582	40539	50622
583	40621	50568
584	40701	50511
585	40761	50430
586	40835	50366
587	40921	50316
588	40995	50252
589	41070	50189
590	41150	50132
591	41215	50057
592	41278	49979
593	41353	49916
594	41440	49867
595	41514	49803
596	41588	49739
597	41652	49662
598	41714	49584
599	41781	49511
600	41852	49442
601	41925	49377
602	41994	49307
603	42056	49228
604	42119	49151
605	42196	49090
606	42272	49027
607	42336	48951
608	42403	48878
609	42469	48804
610	42536	48732
611	42620	48678
612	42704	48626
613	42776	48559
614	42834	48476
615	42901	48403
616	42970	48332
617	43034	48257
618	43100	48183
619	43153	48094
620	43228	48031
621	43301	47965
622	43367	47892
623	43430	47815
624	43497	47742
625	43567	47673
626	43636	47603
627	43703	47530
628	43771	47459
629	43846	47396
630	43910	47320
631	43986	47257
632	44052	47184
633	44115	47107
634	44191	47044
635	44247	46960
636	44319	46893
637	44387	46822
638	44462	46758
639	44530	46686
640	44591	46609
641	44658	46536
642	44724	46463
643	44803	46403
644	44875	46337
645	44938	46259
646	45015	46198
647	45074	46117
648	45144	46048
649	45213	45978
650	45277	45903
651	45359	45845
652	45419	45767
653	45486	45695
654	45550	45620
655	45616	45546
656	45686	45478
657	45753	45406
658	45832	45345
659	45910	45284
660	45970	45205
661	46045	45141
662	46118	45075
663	46192	45009
664	46260	44938
665	46317	44857
666	46386	44787
667	46458	44719
668	46525	44647
669	46599	44582
670	46672	44516
671	46733	44438
672	46807	44372
673	46872	44299
674	46936	44224
675	46992	44142
676	47071	44082
677	47129	44001
678	47197	43930
679	47274	43868
680	47335	43790
681	47397	43714
682	47468	43646
683	47540	43578
684	47617	43516
685	47689	43448
686	47756	43376
687	47826	43308
688	47894	43237
689	47951	43156
690	48018	43084
691	48084	43012
692	48148	42937
693	48214	42864
694	48279	42791
695	48355	42727
696	48427	42660
697	48503	42597
698	48580	42533
699	48648	42462
700	48721	42396
701	48779	42317
702	48848	42247
703	48909	42170
704	48977	42099
705	49045	42029
706	49119	41963
707	49187	41892
708	49258	41824
709	49322	41750
710	49400	41687
711	49471	41620
712	49544	41553
713	49611	41481
714	49678	41410
715	49738	41333
716	49813	41268
717	49890	41205
718	49957	41133
719	50023	41061
720	50092	40991
721	50156	40916
722	50227	40848
723	50295	40778
724	50362	40706
725	50429	40634
726	50496	40563
727	50565	40494
728	50631	40421
729	50694	40347
730	50760	40275
731	50828	40204
732	50908	40143
733	50988	40082
734	51055	40010
735	51125	39941
736	51195	39872
737	51270	39807
738	51344	39741
739	51417	39675
740	51484	39603
741	51550	39531
742	51615	39458
743	51686	39390
744	51754	39319
745	51826	39251
746	51888	39177
747	51962	39110
748	52033	39042
749	52089	38963
750	52151	38887
751	52216	38815
752	52291	38749
753	52354	38675
754	52424	38606
755	52502	38543
756	52576	38477
757	52641	38404
758	52711	38335
759	52787	38271
760	52850	38197
761	52918	38125
762	52987	38056
763	53059	37989
764	53120	37913
765	53188	37843
766	53248	37767
767	53322	37700
768	53391	37631
769	53455	37557
770	53525	37488
771	53587	37414
772	53660	37347
773	53730	37277
774	53809	37215
775	53887	37151
776	53948	37076
777	54015	37005
778	54077	36930
779	54141	36857
780	54224	36797
781	54287	36724
782	54346	36647
783	54419	36580
784	54484	36508
785	54558	36441
786	54638	36379
787	54712	36313
788	54790	36248
789	54866	36183
790	54940	36117
791	55024	36057
792	55086	35983
793	55167	35921
794	55235	35850
795	55300	35778
796	55365	35706
797	55438	35639
798	55504	35567
799	55574	35498
800	55645	35429
801	55711	35358
802	55783	35289
803	55845	35216
804	55918	35148
805	55984	35076
806	56049	35004
807	56120	34936
808	56187	34865
809	56246	34789
810	56319	34721
811	56383	34649
812	56461	34585
813	56527	34513
814	56594	34442
815	56663	34373
816	56734	34304
817	56802	34234
818	56868	34162
819	56936	34092
820	57003	34021
821	57072	33951
822	57135	33878
823	57209	33811
824	57270	33737
825	57343	33670
826	57410	33599
827	57485	33532
828	57548	33459
829	57615	33389
830	57678	33316
831	57744	33244
832	57809	33173
833	57872	33100
834	57952	33036
835	58035	32974
836	58104	32904
837	58172	32835
838	58246	32768
839	58317	32699
840	58392	32633
841	58456	32560
842	58528	32492
843	58596	32422
844	58671	32355
845	58736	32284
846	58794	32208
847	58870	32142
848	58926	32065
849	58994	31995
850	59058	31923
851	59121	31850
852	59191	31781
853	59266	31715
854	59333	31644
855	59401	31574
856	59464	31501
857	59533	31432
858	59606	31364
859	59670	31292
860	59743	31224
861	59819	31158
862	59882	31085
863	59940	31011
864	60017	30945
865	60093	30879
866	60163	30810
867	60231	30740
868	60296	30668
869	60359	30596
870	60427	30525
871	60487	30451
872	60555	30381
873	60617	30308
874	60671	30231
875	60734	30159
876	60801	30088
877	60880	30024
878	60956	29958
879	61018	29885
880	61074	29809
881	61149	29742
882	61222	29675
883	61286	29603
884	61355	29534
885	61423	29463
886	61493	29394
887	61560	29324
888	61627	29254
889	61685	29179
890	61750	29107
891	61822	29039
892	61897	28973
893	61962	28901
894	62029	28831
895	62096	28761
896	62162	28690
897	62222	28617
898	62283	28543
899	62347	28471
900	62411	28400
901	62481	28331
902	62567	28269
903	62649	28206
904	62718	28136
905	62796	28071
906	62879	28008
907	62957	27942
908	63022	27871
909	63094	27803
910	63164	27734
911	63243	27668
912	63305	27596
913	63377	27528
914	63463	27466
915	63538	27399
916	63612	27331
917	63699	27269
918	63759	27196
919	63840	27132
920	63912	27064
921	63982	26994
922	64064	26930
923	64125	26857
924	64203	26791
925	64263	26718
926	64326	26646
927	64393	26576
928	64471	26510
929	64542	26441
930	64612	26372
931	64688	26305
932	64754	26234
933	64821	26164
934	64898	26098
935	64973	26031
936	65063	25969
937	65141	25903
938	65221	25838
939	65295	25770
940	65366	25701
941	65446	25636
942	65523	25570
943	65596	25501
944	65670	25434
945	65743	25366
946	65803	25293
947	65869	25222
948	65939	25152
949	66003	25081
950	66069	25010
951	66134	24939
952	66205	24870
953	66280	24803
954	66346	24732
955	66427	24667
956	66492	24596
957	66560	24525
958	66624	24454
959	66694	24385
960	66758	24313
961	66827	24244
962	66913	24180
963	66984	24111
964	67054	24042
965	67123	23972
966	67195	23904
967	67264	23834
968	67336	23765
969	67409	23697
970	67483	23629
971	67544	23557
972	67606	23485
973	67670	23413
974	67741	23344
975	67823	23279
976	67883	23206
977	67966	23142
978	68036	23072
979	68105	23002
980	68171	22932
981	68240	22862
982	68308	22792
983	68388	22726
984	68454	22656
985	68522	22585
986	68593	22517
987	68660	22446
988	68726	22375
989	68792	22305
990	68862	22236
991	68935	22167
992	68998	22096
993	69074	22028
994	69139	21957
995	69214	21890
996	69282	21820
997	69348	21749
998	69420	21680
999	69481	21608
1000	69550	21539
1001	69616	21468
1002	69686	21399
1003	69754	21329
1004	69814	21256
1005	69891	21189
1006	69952	21117
1007	70026	21049
1008	70093	20979
1009	70155	20907
1010	70216	20835
1011	70292	20768
1012	70354	20696
1013	70419	20625
1014	70492	20557
1015	70566	20489
1016	70639	20420
1017	70714	20353
1018	70776	20281
1019	70853	20214
1020	70926	20145
1021	70992	20075
1022	71073	20009
1023	71138	19938
1024	71214	19870
1025	71276	19798
1026	71352	19731
1027	71408	19658
1028	71481	19589
1029	71540	19517
1030	71607	19447
1031	71670	19376
1032	71742	19307
1033	71809	19237
1034	71884	19169
1035	71963	19102
1036	72035	19033
1037	72121	18968
1038	72188	18898
1039	72256	18828
1040	72318	18757
1041	72384	18686
1042	72453	18616
1043	72524	18547
1044	72590	18477
1045	72663	18409
1046	72736	18340
1047	72820	18274
1048	72895	18206
1049	72982	18141
1050	73049	18071
1051	73136	18005
1052	73217	17939
1053	73280	17868
1054	73353	17799
1055	73436	17733
1056	73524	17668
1057	73607	17601
1058	73673	17531
1059	73752	17464
1060	73829	17396
1061	73910	17329
1062	73994	17263
1063	74067	17194
1064	74136	17124
1065	74221	17058
1066	74299	16990
1067	74393	16926
1068	74489	16862
1069	74580	16798
1070	74657	16730
1071	74749	16665
1072	74830	16597
1073	74920	16532
